
✈️使用说明,#genre#


开国大典4K绝版影像,https://link.jscdn.cn/1drv/aHR0cHM6Ly8xZHJ2Lm1zL3UvcyFBcWRaQXVqUUttYXpiUVJnSTFiVnJzVDNRSFk_ZT0yUDA5a0g

直播软件不维护,http://live.hnzzzzzdst.com/channel1/sd/live.m3u8
直播源暂不维护,http://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8
有任何直播问题,http://play.cec-tv.com.cn/channel/cec-tv1.m3u8
请联系软件唯一,http://play.cec-tv.com.cn/channel/cec-tv2.m3u8
Q群639464004,http://play.cec-tv.com.cn/channel/cec-tv3.m3u8
软件如不能播放,http://play.cec-tv.com.cn/channel/cec-tv4.m3u8
加群获取新软件,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8
Q群910582460,http://liveop.cctv.cn/hls/CCTV16HD/playlist.m3u8
免责声明,https://ghproxy.com/https://raw.githubusercontent.com/sun520999/m3u/master/Video/shengming.mp4
振华英雄2022,http://cache.ott.fifavod.itv.cmvideo.cn/10013414536.m3u8?
隐形侠,http://cache.ott.fifavod.itv.cmvideo.cn/10013469850.m3u8?

小仙女直播,#genre#
小姐姐轮播直播点击换,http://wmsp.cc/video.php
抖音轮播直播点击切换,http://mmitv.top/test/douyin.php?id=top
花椒轮播直播点击切换,http://mmitv.top/test/hjzb.php?id=top
6间房轮播直播点击切换,http://mmitv.top/test/6room.php?id=top
千帆轮播直播点击切换,http://mmitv.top/test/qf56.php?id=top
我秀轮播直播点击切换,http://mmitv.top/test/woxiu.php?id=top
快手轮播直播点击切换,http://mmitv.top/test/ks.php
网络热门歌曲点击切换,https://api.vvhan.com/api/rand.music?sort=%E7%83%AD%E6%AD%8C%E6%A6%9C
芒果TV直播,http://112.17.40.217/PLTV/88888888/224/3221231279/index.m3u8#http://112.17.40.217/PLTV/88888888/224/3221231279/index.m3u8
橙子一台,https://ip3731198171.mobgslb.tbcache.com/d1--cn-gotcha09.bilivideo.com/live-bvc/768410/live_1849890871_69368354.m3u8?
橙子二台,https://ip3747975387.mobgslb.tbcache.com/d1--cn-gotcha09.bilivideo.com/live-bvc/214875/live_457200741_74685781.m3u8
橙子三台 ,https://ip3722557046.mobgslb.tbcache.com/d1--cn-gotcha09.bilivideo.com/live-bvc/133179/live_1001126625_48904870.m3u8?
橙子四台 ,https://ip3714420955.mobgslb.tbcache.com/d1--cn-gotcha09.bilivideo.com/live-bvc/743745/live_1755442628_48682447.m3u8
🏳️‍🌈湾湾新闻,#genre#
寰宇新闻台,http://103.144.247.90:9500/live.m3u8?c=9
台视新闻台,http://103.144.247.90:9500/live.m3u8?c=10
三立Live,http://103.144.247.90:9500/live.m3u8?c=7
TVBS新闻台,http://103.144.247.90:9500/live.m3u8?c=19
中天新闻台,http://103.144.247.90:9500/live.m3u8?c=16
东森Live,http://103.144.247.90:9500/live.m3u8?c=18
亚洲新闻,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
中天新聞,http://59.125.122.90:18513/http/192.168.1.9:8081/hls/78/80/ch63max.m3u8#http://61.219.170.95:18513/.m3u8#http://59.125.122.90:18513/.m3u8
